Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/ContosoUniversity.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 6.0.2,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 6.0.2  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/ContosoUniversity.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.2,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/ContosoUniversity.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.2,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/ContosoUniversity.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 6.0.2,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 6.0.2  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/ContosoUniversity.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/Program.cs,24,4,T:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions,,,,,app.UseMigrationsEndPoint();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/Program.cs,24,4,M:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions.UseMigrationsEndPoint(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseMigrationsEndPoint();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/Program.cs,17,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/Program.cs,10,0,T:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions,,,,,builder.Services.AddDatabaseDeveloperPageExceptionFilter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity/ContosoUniversity.csproj,File,ContosoUniversity/Program.cs,10,0,M:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions.AddDatabaseDeveloperPageExceptionFilter(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,builder.Services.AddDatabaseDeveloperPageExceptionFilter();
